Timestamp,Age Group,Highest Qualification,Profession,Should Citizens care about Caste Discrimination?,What according to you are the main reasons for Caste Discrimination?,How do you think humans learn to recognize people from different caste?,"Is it legal in India to discriminate, abuse or bully anyone on the basis of caste?",Usually who are the victims of Caste Discrimination?,Do you think culture/ religion based violence is a political agenda?,Do you think the Palghar(2020) or Dr Payal Tadvi(2019) incident is justified?,Do you think the cultural/ religion violence is because of ?,Do you think the caste based reservation on education should still  be carried on? (where everyone is capable to work hard),Your views on the above question (If Any),Do you think social media has a huge impact on violence based on caste/ raising awareness for the same?,Do you think if Indian Legal thought acknowledges caste bias through any introspective(observational) analysis? (Reference-Article 15),Are you aware of any Law related to caste discrimination?,"If ""YES"" mention it (above question)",What can we do as a citizen to stop the struggle to end Caste Discrimination,How was your overall experience on the survey,Comments/ Constructive Criticisms if any,Do you think the Palghar(2020) or Dr Payal Tadvi (2019) incident is justified?
03/11/2020 23:36:35,Below 18,HSC,Student,Yes,"Social and Economical Inequality, Literacy, Lower Class","Surname, Skin Tone, Economic background, Social status",Yes,Lower Class,Maybe,Yes,Politicians,Yes,,Yes,Yes,Yes,,-,5,,
03/11/2020 23:37:02,Below 18,"SSC, HSC, Graduate",Student,Yes,"Social and Economical Inequality, Literacy, Lower Class","Skin Tone, Economic background",Yes,Lower Class,Yes,Yes,,No,,Yes,Yes,No,,we can ,5,,
04/11/2020 22:17:48,18-35,HSC,Student,No,"Literacy, Lower Class","Surname, Skin Tone, Occupation, Economic background, Social status",No,Upper Class,Yes,,,Yes,,Yes,Yes,No,,Peoples are judging by their surname ,5,,Yes
04/11/2020 22:18:59,18-35,Post Graduate,Employed,Maybe,Social and Economical Inequality,Occupation,No,Middle Class,Maybe,,,No,Free this country from casteism,Yes,Yes,No,,Educate people,5,,Yes
04/11/2020 22:19:31,18-35,Post Graduate,Employed,No,Social and Economical Inequality,"Surname, Economic background",No,Lower Class,Yes,,,No,,Yes,Yes,Yes,It's in the constitution of India,Literacy and hard work can change the face of India. ,4,,No
04/11/2020 22:20:37,35-60,HSC,Business,No,Lower Class,Surname,No,Lower Class,Yes,,,No,,Yes,Yes,No,,Unity/Ektha,5,,No
04/11/2020 22:28:06,18-35,Graduate,Student,Yes,"Social and Economical Inequality, Literacy","Surname, Economic background",No,Lower Class,Yes,,,No,No,Yes,Yes,No,,Give equal opportunities to people of all caste based on their skills not on caste..,4,,Yes
04/11/2020 22:29:29,18-35,Post Graduate,Employed,Yes,"Social and Economical Inequality, Literacy","Surname, Skin Tone, Economic background",No,Middle Class,Yes,,,No,,Yes,Yes,No,,Income based reservation not caste based,5,"Caste based discrimination is harmful nevertheless we must make sure we have better ways to uplift every citizen of the society regardless of their caste. That makes more sense. There are citizens from upper class or middle class suffering discrimination on many grounds, what are we really doing about that?
",No
04/11/2020 22:32:41,35-60,Graduate,Business,Yes,Social and Economical Inequality,"Surname, Social status",No,Lower Class,Yes,,,No,,Yes,Yes,No,,"It's the state of mind which we have to change, first and foremost reservation system should be abolished, any support from the government on the basis of economic conditions of a person rather than the caste.",5,Very good attempt & Keep it up! ,No
04/11/2020 22:37:07,18-35,HSC,Student,Maybe,Social and Economical Inequality,Surname,No,Lower Class,Maybe,,,Yes,,Yes,No,No,,Educate people and create awareness for the same,4,,No
04/11/2020 22:40:54,18-35,HSC,Student,Yes,"Social and Economical Inequality, Literacy, Lower Class","Surname, Skin Tone, Occupation, Economic background, Social status",No,Lower Class,No,,,Yes,,Yes,Yes,No,,Umm bhot kuch kr sakte hai 🤷‍♂️ ,3,,No
04/11/2020 22:43:17,18-35,Post Graduate,Employed,Maybe,Social and Economical Inequality,Social status,No,Lower Class,Maybe,,,No,,Yes,Yes,No,,Awareness,3,,No
04/11/2020 22:45:06,18-35,"SSC, HSC, Graduate","Student, Business",Yes,Literacy,Surname,Yes,Middle Class,Yes,,,Yes,,Yes,Yes,Yes,,N,5,,Yes
